Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
50.0,50.0,1002.5,11485.1,Julio,2022,0,1,0,0,,,,,,39055.1,3966.9
50.0,50.0,982.8,13452.8,Agosto,2022,0,1,0,0,,,,,,46789.0,4018.0
50.0,50.0,1013.8,13244.9,Septiembre,2022,0,1,0,0,,,,,,45671.6,3789.3
50.0,50.0,1013.8,14135.8,Octubre,2022,0,1,0,0,,,,,,47422.0,3751.2
50.0,50.0,969.7,13657.7,Noviembre,2022,0,1,0,0,,,,,,44794.6,3451.0
50.0,50.0,879.5,10665.0,Diciembre,2022,0,1,0,0,,,,,,41252.3,3202.3
50.0,50.0,811.7,9975.8,Enero,2023,0,1,0,0,,,,,,38454.7,3131.2
50.0,50.0,783.1,9576.7,Febrero,2023,0,1,0,0,,,,,,41439.5,3078.7
50.0,50.0,829.4,10733.9,Marzo,2023,0,1,0,0,,,,,,46665.2,3242.1
50.0,50.0,811.5,9523.7,Abril,2023,0,1,0,0,,,,,,38799.7,3128.6
50.0,50.0,924.2,11891.6,Mayo,2023,0,1,0,0,,,,,,58511.8,3563.2
50.0,50.0,914.9,10657.7,Junio,2023,0,1,0,0,,,,,,55684.1,3638.8
50.0,50.0,930.8,7584.0,Julio,2023,0,1,0,0,,,,,,55782.3,3759.3
50.0,50.0,850.8,8912.3,Agosto,2023,0,1,0,0,,,,,,61959.2,3811.4
50.0,50.0,1009.2,8864.7,Septiembre,2023,0,1,0,0,,,,,,66703.2,3707.4
50.0,50.0,896.0,10241.8,Octubre,2023,0,1,0,0,,,,,,73829.9,3614.1
50.0,50.0,976.2,10290.0,Noviembre,2023,0,1,0,0,,,,,,73560.8,3409.0
50.0,50.0,1005.0,9784.4,Diciembre,2023,0,1,0,0,,,,,,76691.4,3474.1
50.0,50.0,1011.6,8984.2,Enero,2024,0,1,0,0,,,,,,75340.1,3463.2
50.0,50.0,899.2,9836.4,Febrero,2024,0,1,0,0,,,,,,76413.9,3490.8
50.0,50.0,986.2,8947.3,Marzo,2024,0,1,0,0,,,,,,73328.5,3625.5
50.0,50.0,1009.4,10150.1,Abril,2024,0,1,0,0,,,,,,75550.4,3657.1
50.0,50.0,953.1,10152.5,Mayo,2024,0,1,0,0,,,,,,76008.8,3595.2
50.0,50.0,1029.0,9147.6,Junio,2024,0,1,0,0,,,,,,76509.0,4024.2
50.0,50.0,1024.1,7038.5,Julio,2024,0,1,0,0,,,,,,77104.9,4262.9
50.0,50.0,1044.7,7910.2,Agosto,2024,0,1,0,0,,,,,,78545.6,4347.2
50.0,50.0,968.1,8317.1,Septiembre,2024,0,1,0,0,,,,,,79826.9,4104.3
50.0,50.0,990.2,8403.4,Octubre,2024,0,1,0,0,,,,,,80442.7,4170.8
