Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
222,197,"1,175.10","2,601.40",Agosto,2023,0,0,0,1,-,-,-,25,661,-,-
235,198,"1,192.00","2,448.60",Septiembre,2023,0,0,0,1,-,-,-,26,661,-,-
235,198,"1,241.10","3,199.60",Octubre,2023,0,0,0,1,-,-,-,26,661,-,-
236,199,"1,201.80","3,109.00",Noviembre,2023,0,0,0,1,-,-,-,27,664,-,-
236,200,"1,188.60","2,423.60",Diciembre,2023,0,0,0,1,-,-,-,29,660,-,-
218,167,"1,197.90","2,571.90",Enero,2024,0,0,0,1,-,-,-,28,583,-,-
229,216,"1,168.20","2,961.80",Febrero,2024,0,0,0,1,-,-,-,32,608,-,-
248,217,"1,264.90","2,918.90",Marzo,2024,0,0,0,1,-,-,-,32,636,-,-
250,217,"1,391.70","3,211.30",Abril,2024,0,0,0,1,-,-,-,32,656,-,-
251,217,"1,444.70","3,557.70",Mayo,2024,0,0,0,1,-,-,-,32,658,-,-
251,217,"1,373.80","2,957.60",Junio,2024,0,0,0,1,-,-,-,32,660,-,-
251,217,"1,475.80","3,298.50",Julio,2024,0,0,0,1,-,-,-,32,660,-,-
280,248,"1,460.50","3,526.00",Agosto,2024,0,0,0,1,-,-,-,32,752,-,-
280,248,"1,366.00","3,334.30",Septiembre,2024,0,0,0,1,-,-,-,32,746,-,-
280,248,"1,381.50","3,363.50",Octubre,2024,0,0,0,1,-,-,-,32,752,-,-
-,-,-,-,Noviembre,2024,0,0,0,1,-,-,-,-,-,-,-
-,-,-,-,Diciembre,2024,0,0,0,1,-,-,-,-,-,-,-
40,40,836.8,"15,220.40",Enero,2020,0,1,0,0,-,-,-,-,-,"40,701.80","3,206.30"
40,40,785.8,"15,548.30",Febrero,2020,0,1,0,0,-,-,-,-,-,"41,284.20","2,973.30"
40,40,814,"12,554.90",Marzo,2020,0,1,0,0,-,-,-,-,-,"33,494.50","3,148.50"
